county,year,days_with_aqi,good_days,moderate_days,unhealthy_sensitive_days,unhealthy_days,median_aqi,max_aqi
Adams,2019,365,243,122,0,0,45,87
Adams,2020,366,280,86,0,0,42,88
Adams,2021,364,206,155,3,0,47,129
Adams,2022,365,221,144,0,0,47,97
Adams,2023,365,188,166,7,3,50,241
Allegheny,2019,365,67,287,7,4,59,165
Allegheny,2020,366,138,218,10,0,54,128
Allegheny,2021,365,118,240,6,1,57,154
Allegheny,2022,365,129,225,10,1,56,151
Allegheny,2023,365,121,227,15,1,56,237
Armstrong,2019,365,261,104,0,0,43,72
Armstrong,2020,366,246,117,3,0,43,122
Armstrong,2021,350,184,165,1,0,48,108
Armstrong,2022,365,198,165,2,0,48,122
Armstrong,2023,362,238,117,4,1,44,210
Beaver,2019,365,183,181,1,0,50,132
Beaver,2020,366,205,160,1,0,48,142
Beaver,2021,365,170,192,3,0,52,125
Beaver,2022,364,174,189,1,0,51,112
Beaver,2023,365,158,197,8,0,52,235
Berks,2019,365,230,129,5,1,44,170
Berks,2020,362,227,134,1,0,44,102
Berks,2021,365,198,162,5,0,48,133
Berks,2022,365,240,123,2,0,44,101
Berks,2023,364,205,147,7,3,48,287
Blair,2019,352,220,132,0,0,46,93
Blair,2020,360,262,98,0,0,43,87
Blair,2021,336,206,128,2,0,45,120
Blair,2022,363,234,129,0,0,44,97
Blair,2023,358,229,123,1,4,43,213
Bradford,2019,352,273,79,0,0,41,78
Bradford,2020,358,301,57,0,0,39,84
Bradford,2021,356,242,113,1,0,42,116
Bradford,2022,303,246,57,0,0,40,80
Bradford,2023,289,237,51,1,0,40,108
Bucks,2019,357,318,36,3,0,35,136
Bucks,2020,351,331,16,4,0,33,115
Bucks,2021,283,239,34,10,0,37,143
Bucks,2022,237,196,39,2,0,41,119
Bucks,2023,296,241,50,4,1,39,200
Cambria,2019,365,229,136,0,0,45,89
Cambria,2020,366,228,138,0,0,44,90
Cambria,2021,353,169,183,1,0,51,130
Cambria,2022,363,171,191,1,0,52,119
Cambria,2023,363,213,147,0,2,46,201
Centre,2019,365,192,173,0,0,49,99
Centre,2020,366,287,79,0,0,41,91
Centre,2021,365,241,123,1,0,43,114
Centre,2022,365,240,125,0,0,44,89
Centre,2023,365,239,118,3,5,45,199
Chester,2019,364,223,139,2,0,46,115
Chester,2020,355,233,121,1,0,44,143
Chester,2021,347,215,130,2,0,45,138
Chester,2022,364,249,115,0,0,45,80
Chester,2023,361,220,134,3,2,45,248
Clearfield,2019,359,357,2,0,0,33,61
Clearfield,2020,343,341,2,0,0,31,54
Clearfield,2021,277,274,3,0,0,33,54
Clearfield,2022,219,215,4,0,0,35,97
Cumberland,2019,365,178,182,5,0,51,150
Cumberland,2020,363,236,125,2,0,44,137
Cumberland,2021,365,209,155,1,0,47,114
Cumberland,2022,360,213,146,1,0,44,113
Cumberland,2023,365,212,146,3,2,44,224
Dauphin,2019,365,232,129,3,1,44,161
Dauphin,2020,366,219,144,3,0,46,116
Dauphin,2021,359,155,202,2,0,52,127
Dauphin,2022,365,198,164,3,0,48,127
Dauphin,2023,365,169,184,7,3,52,255
Delaware,2019,365,180,178,7,0,51,133
Delaware,2020,366,174,189,3,0,52,129
Delaware,2021,365,182,180,3,0,51,142
Delaware,2022,365,191,174,0,0,49,95
Delaware,2023,365,187,169,5,2,50,271
Elk,2019,357,345,12,0,0,35,80
Elk,2020,358,356,2,0,0,34,67
Elk,2021,358,340,18,0,0,34,87
Elk,2022,363,353,9,1,0,35,101
Elk,2023,363,343,20,0,0,35,100
Erie,2019,364,271,93,0,0,39,93
Erie,2020,363,298,65,0,0,36,87
Erie,2021,329,255,74,0,0,38,92
Erie,2022,365,286,79,0,0,38,90
Erie,2023,365,240,116,6,3,42,180
Fayette,2019,360,273,87,0,0,42,75
Fayette,2020,363,265,98,0,0,42,100
Fayette,2021,354,227,126,1,0,43,113
Fayette,2022,302,218,84,0,0,43,87
