county,year,new_diagnoses,prevalence,new_dx_idu,population
Adams,2012,5,71,,106748
Adams,2013,,72,,106748
Adams,2014,5,75,,106748
Adams,2015,,76,,106748
Adams,2016,7,83,,106748
Allegheny,2012,123,2546,,1224825
Allegheny,2013,119,2622,8,1224825
Allegheny,2014,128,2709,,1224825
Allegheny,2015,142,2817,10,1224825
Allegheny,2016,127,2910,5,1224825
Armstrong,2012,,34,,64074
Armstrong,2013,,33,,64074
Armstrong,2014,,34,,64074
Armstrong,2015,,34,,64074
Armstrong,2016,,37,,64074
Beaver,2012,6,109,,165631
Beaver,2013,,104,,165631
Beaver,2014,5,108,,165631
Beaver,2015,,110,,165631
Beaver,2016,,108,,165631
Bedford,2012,5,23,,47350
Bedford,2013,,23,,47350
Bedford,2014,,21,,47350
Bedford,2015,5,26,,47350
Bedford,2016,,28,,47350
Berks,2012,40,963,,432821
Berks,2013,34,974,,432821
Berks,2014,33,987,,432821
Berks,2015,29,1009,,432821
Berks,2016,30,1027,,432821
Blair,2012,,75,,120273
Blair,2013,,75,,120273
Blair,2014,5,75,,120273
Blair,2015,5,78,,120273
Blair,2016,5,82,,120273
Bradford,2012,,39,,59695
Bradford,2013,,39,,59695
Bradford,2014,,37,,59695
Bradford,2015,,36,,59695
Bradford,2016,5,39,,59695
Bucks,2012,43,748,6,645984
Bucks,2013,37,776,5,645984
Bucks,2014,30,793,,645984
Bucks,2015,24,808,,645984
Bucks,2016,19,819,,645984
Butler,2012,,74,,198413
Butler,2013,,75,,198413
Butler,2014,,78,,198413
Butler,2015,7,84,,198413
Butler,2016,,85,,198413
Cambria,2012,10,119,,130668
Cambria,2013,,122,,130668
Cambria,2014,6,125,,130668
Cambria,2015,5,125,,130668
Cambria,2016,,128,,130668
Cameron,2012,,,,4380
Cameron,2013,,,,4380
Cameron,2014,,,,4380
Cameron,2015,,,,4380
Cameron,2016,,,,4380
Carbon,2012,7,74,,65458
Carbon,2013,,71,,65458
Carbon,2014,7,76,,65458
Carbon,2015,,78,,65458
Carbon,2016,5,83,,65458
Centre,2012,8,159,,157795
Centre,2013,8,167,,157795
Centre,2014,5,171,,157795
Centre,2015,8,176,,157795
Centre,2016,12,184,,157795
Chester,2012,34,507,,549784
Chester,2013,19,510,,549784
Chester,2014,21,521,,549784
Chester,2015,14,531,,549784
Chester,2016,18,544,,549784
Clarion,2012,,21,,36970
Clarion,2013,,21,,36970
Clarion,2014,,21,,36970
Clarion,2015,,22,,36970
Clarion,2016,,22,,36970
Clearfield,2012,,65,,77090
Clearfield,2013,,65,,77090
Clearfield,2014,6,70,,77090
Clearfield,2015,,72,,77090
Clearfield,2016,,71,,77090
Clinton,2012,,13,,37607
Clinton,2013,,13,,37607
Clinton,2014,,14,,37607
Clinton,2015,,14,,37607
Clinton,2016,,15,,37607
Columbia,2012,,58,,65439
Columbia,2013,,58,,65439
Columbia,2014,,59,,65439
Columbia,2015,,60,,65439
Columbia,2016,,61,,65439
Crawford,2012,5,63,,82001
Crawford,2013,,62,,82001
Crawford,2014,,64,,82001
Crawford,2015,,65,,82001
Crawford,2016,,68,,82001
Cumberland,2012,9,372,,270738
Cumberland,2013,16,377,,270738
Cumberland,2014,9,382,,270738
Cumberland,2015,7,383,,270738
Cumberland,2016,12,387,,270738
Dauphin,2012,40,966,6,289234
Dauphin,2013,33,982,,289234
Dauphin,2014,37,1005,5,289234
Dauphin,2015,34,1017,,289234
Dauphin,2016,49,1054,,289234
Delaware,2012,93,1560,6,576720
Delaware,2013,76,1605,,576720
Delaware,2014,72,1645,5,576720
Delaware,2015,69,1690,,576720
Delaware,2016,61,1736,,576720
Elk,2012,,7,,30198
Elk,2013,,7,,30198
Elk,2014,,6,,30198
Elk,2015,,7,,30198
Elk,2016,,7,,30198
Erie,2012,11,306,,267571
Erie,2013,14,316,,267571
Erie,2014,12,322,,267571
Erie,2015,15,332,,267571
Erie,2016,13,343,,267571
Fayette,2012,6,83,,123915
Fayette,2013,7,89,,123915
Fayette,2014,5,92,,123915
Fayette,2015,,93,,123915
Fayette,2016,6,99,,123915
Forest,2012,,13,,6449
Forest,2013,,13,,6449
Forest,2014,,12,,6449
Forest,2015,,12,,6449
Forest,2016,,12,,6449
Franklin,2012,,127,,157854
Franklin,2013,7,133,,157854
Franklin,2014,9,140,,157854
Franklin,2015,,139,,157854
Franklin,2016,,141,,157854
Fulton,2012,,9,,14468
Fulton,2013,,10,,14468
Fulton,2014,,10,,14468
Fulton,2015,,10,,14468
Fulton,2016,,10,,14468
Greene,2012,,23,,34357
Greene,2013,,23,,34357
Greene,2014,,24,,34357
Greene,2015,,24,,34357
Greene,2016,,24,,34357
Huntingdon,2012,,71,,43514
Huntingdon,2013,,71,,43514
Huntingdon,2014,,70,,43514
Huntingdon,2015,,72,,43514
Huntingdon,2016,,72,,43514
Indiana,2012,,37,,83094
Indiana,2013,,37,,83094
Indiana,2014,,37,,83094
Indiana,2015,,38,,83094
Indiana,2016,,39,,83094
Jefferson,2012,,15,,43612
Jefferson,2013,,15,,43612
Jefferson,2014,,15,,43612
Jefferson,2015,,16,,43612
Jefferson,2016,,16,,43612
Juniata,2012,,17,,23243
Juniata,2013,,17,,23243
Juniata,2014,,17,,23243
Juniata,2015,,16,,23243
