county,pm25_annual_avg,drinking_water_violation
Adams,9.1,1.0
Allegheny,14.1,1.0
Armstrong,7.7,1.0
Beaver,9.9,1.0
Bedford,8.5,1.0
Berks,9.2,1.0
Blair,9.4,1.0
Bradford,7.3,1.0
Bucks,9.2,1.0
Butler,10.0,0.0
Cambria,9.1,1.0
Cameron,7.2,0.0
Carbon,8.0,1.0
Centre,9.8,1.0
Chester,9.1,1.0
Clarion,8.2,1.0
Clearfield,8.8,1.0
Clinton,8.2,1.0
Columbia,8.3,1.0
Crawford,8.1,1.0
Cumberland,10.8,1.0
Dauphin,9.2,1.0
Delaware,10.8,0.0
Elk,7.8,1.0
Erie,7.5,1.0
Fayette,7.3,1.0
Forest,7.5,0.0
Franklin,9.1,1.0
Fulton,8.2,0.0
Greene,6.5,1.0
Huntingdon,9.4,0.0
Indiana,9.0,1.0
Jefferson,8.4,1.0
Juniata,9.3,1.0
Lackawanna,6.5,1.0
Lancaster,11.1,1.0
Lawrence,9.3,1.0
Lebanon,9.4,0.0
Lehigh,8.5,1.0
Luzerne,8.1,1.0
Lycoming,8.2,1.0
McKean,7.3,1.0
Mercer,8.0,1.0
Mifflin,9.3,0.0
Monroe,7.9,1.0
Montgomery,7.6,1.0
Montour,8.5,0.0
Northampton,8.6,1.0
Northumberland,8.9,1.0
Perry,9.6,1.0
Philadelphia,8.7,0.0
Pike,7.3,1.0
Potter,6.8,1.0
Schuylkill,8.8,1.0
Snyder,9.0,1.0
Somerset,8.4,1.0
Sullivan,7.0,0.0
Susquehanna,6.6,1.0
Tioga,5.5,1.0
Union,8.7,0.0
Venango,8.1,0.0
Warren,7.4,1.0
Washington,9.3,1.0
Wayne,7.1,1.0
Westmoreland,7.0,0.0
Wyoming,7.4,1.0
York,8.9,1.0
