county,year,firearm_deaths,firearm_suicide,firearm_homicide,population,rate_per_100k
Adams,2019,10,,,106748,9.4
Adams,2020,13,11,,106748,12.2
Adams,2021,15,12,,106748,14.1
Adams,2022,,,,106748,
Adams,2023,10,10,0,106748,9.4
Adams,2024,,,,106748,
Allegheny,2019,173,94,73,1224825,14.1
Allegheny,2020,168,73,91,1224825,13.7
Allegheny,2021,185,79,104,1224825,15.1
Allegheny,2022,187,78,106,1224825,15.3
Allegheny,2023,188,97,84,1224825,15.3
Allegheny,2024,172,90,77,1224825,14.0
Armstrong,2019,10,,,64074,15.6
Armstrong,2020,,,0,64074,
Armstrong,2021,10,,,64074,15.6
Armstrong,2022,11,,,64074,17.2
Armstrong,2023,,,,64074,
Armstrong,2024,15,13,,64074,23.4
Beaver,2019,19,16,,165631,11.5
Beaver,2020,18,13,,165631,10.9
Beaver,2021,23,16,,165631,13.9
Beaver,2022,24,20,,165631,14.5
Beaver,2023,18,13,,165631,10.9
Beaver,2024,33,22,11,165631,19.9
Bedford,2019,12,,,47350,25.3
Bedford,2020,10,,0,47350,21.1
Bedford,2021,,,,47350,
Bedford,2022,,,,47350,
Bedford,2023,,,0,47350,
Bedford,2024,10,10,0,47350,21.1
Berks,2019,37,30,,432821,8.5
Berks,2020,43,33,,432821,9.9
Berks,2021,59,45,12,432821,13.6
Berks,2022,48,31,17,432821,11.1
Berks,2023,65,50,15,432821,15.0
Berks,2024,58,45,12,432821,13.4
Blair,2019,14,12,0,120273,11.6
Blair,2020,18,13,,120273,15.0
Blair,2021,21,16,,120273,17.5
Blair,2022,16,14,,120273,13.3
Blair,2023,11,,,120273,9.1
Blair,2024,19,16,,120273,15.8
Bradford,2019,10,,,59695,16.8
Bradford,2020,,,0,59695,
Bradford,2021,,,,59695,
Bradford,2022,,,0,59695,
Bradford,2023,12,10,,59695,20.1
Bradford,2024,,,0,59695,
Bucks,2019,45,41,,645984,7.0
Bucks,2020,53,38,11,645984,8.2
Bucks,2021,47,38,,645984,7.3
Bucks,2022,55,44,,645984,8.5
Bucks,2023,63,54,,645984,9.8
Bucks,2024,55,43,,645984,8.5
Butler,2019,18,16,,198413,9.1
Butler,2020,13,13,0,198413,6.6
Butler,2021,33,30,,198413,16.6
Butler,2022,11,11,0,198413,5.5
Butler,2023,25,24,,198413,12.6
Butler,2024,20,18,,198413,10.1
Cambria,2019,13,12,0,130668,9.9
Cambria,2020,22,18,,130668,16.8
Cambria,2021,17,13,,130668,13.0
Cambria,2022,25,17,,130668,19.1
Cambria,2023,30,23,,130668,23.0
Cambria,2024,22,16,,130668,16.8
Cameron,2019,0,0,0,4380,0.0
Cameron,2020,0,0,0,4380,0.0
Cameron,2021,,,0,4380,
Cameron,2022,,,0,4380,
Cameron,2023,0,0,0,4380,0.0
Cameron,2024,0,0,0,4380,0.0
Carbon,2019,10,,,65458,15.3
Carbon,2020,21,12,,65458,32.1
Carbon,2021,,,0,65458,
Carbon,2022,16,14,,65458,24.4
Carbon,2023,13,12,0,65458,19.9
Carbon,2024,14,13,,65458,21.4
Centre,2019,10,,,157795,6.3
Centre,2020,11,11,0,157795,7.0
Centre,2021,,,0,157795,
Centre,2022,13,13,0,157795,8.2
Centre,2023,,,,157795,
Centre,2024,12,11,,157795,7.6
Chester,2019,26,21,,549784,4.7
Chester,2020,31,29,,549784,5.6
Chester,2021,38,28,10,549784,6.9
Chester,2022,52,38,13,549784,9.5
Chester,2023,44,36,,549784,8.0
Chester,2024,35,32,,549784,6.4
Clarion,2019,,,,36970,
Clarion,2020,,,,36970,
Clarion,2021,,,0,36970,
Clarion,2022,,,,36970,
Clarion,2023,,,,36970,
Clarion,2024,,,0,36970,
Clearfield,2019,15,14,,77090,19.5
Clearfield,2020,11,,,77090,14.3
Clearfield,2021,12,12,0,77090,15.6
Clearfield,2022,,,,77090,
Clearfield,2023,14,14,0,77090,18.2
Clearfield,2024,,,,77090,
Clinton,2019,,,0,37607,
Clinton,2020,,,0,37607,
Clinton,2021,,,,37607,
Clinton,2022,,,0,37607,
Clinton,2023,0,0,0,37607,0.0
Clinton,2024,,,0,37607,
Columbia,2019,16,15,,65439,24.5
Columbia,2020,,,,65439,
Columbia,2021,10,,0,65439,15.3
Columbia,2022,13,,,65439,19.9
Columbia,2023,,,0,65439,
Columbia,2024,,,0,65439,
Crawford,2019,10,,,82001,12.2
Crawford,2020,,,,82001,
Crawford,2021,,,,82001,
Crawford,2022,12,11,,82001,14.6
Crawford,2023,10,10,0,82001,12.2
Crawford,2024,11,,,82001,13.4
Cumberland,2019,20,17,,270738,7.4
Cumberland,2020,14,11,,270738,5.2
Cumberland,2021,21,16,,270738,7.8
Cumberland,2022,24,15,,270738,8.9
Cumberland,2023,22,18,,270738,8.1
Cumberland,2024,25,22,,270738,9.2
Dauphin,2019,32,15,16,289234,11.1
Dauphin,2020,35,18,17,289234,12.1
Dauphin,2021,43,24,18,289234,14.9
Dauphin,2022,38,22,16,289234,13.1
Dauphin,2023,27,19,,289234,9.3
Dauphin,2024,31,12,18,289234,10.7
Delaware,2019,57,27,29,576720,9.9
Delaware,2020,79,28,51,576720,13.7
Delaware,2021,72,29,43,576720,12.5
Delaware,2022,90,39,50,576720,15.6
Delaware,2023,74,28,41,576720,12.8
Delaware,2024,56,20,35,576720,9.7
Elk,2019,,,,30198,
Elk,2020,,,0,30198,
Elk,2021,,,0,30198,
Elk,2022,,,0,30198,
Elk,2023,,,0,30198,
Elk,2024,,,0,30198,
Erie,2019,29,24,,267571,10.8
Erie,2020,35,19,16,267571,13.1
Erie,2021,37,28,,267571,13.8
Erie,2022,35,29,,267571,13.1
Erie,2023,39,27,12,267571,14.6
Erie,2024,24,19,,267571,9.0
Fayette,2019,18,17,,123915,14.5
Fayette,2020,24,17,,123915,19.4
Fayette,2021,27,23,,123915,21.8
Fayette,2022,28,20,,123915,22.6
Fayette,2023,21,17,,123915,16.9
Fayette,2024,15,,,123915,12.1
Forest,2019,,,0,6449,
Forest,2020,0,0,0,6449,0.0
Forest,2021,0,0,0,6449,0.0
Forest,2022,0,0,0,6449,0.0
Forest,2023,,,0,6449,
Forest,2024,,,0,6449,
Franklin,2019,19,16,,157854,12.0
Franklin,2020,12,10,,157854,7.6
Franklin,2021,14,11,,157854,8.9
Franklin,2022,13,10,,157854,8.2
Franklin,2023,16,14,,157854,10.1
Franklin,2024,24,18,,157854,15.2
Fulton,2019,,,0,14468,
Fulton,2020,,,0,14468,
Fulton,2021,,,0,14468,
Fulton,2022,,,0,14468,
Fulton,2023,,,0,14468,
Fulton,2024,,,0,14468,
Greene,2019,,,0,34357,
Greene,2020,,,,34357,
Greene,2021,,,0,34357,
Greene,2022,,,,34357,
Greene,2023,,,0,34357,
Greene,2024,,,0,34357,
Huntingdon,2019,,,0,43514,
Huntingdon,2020,,,0,43514,
Huntingdon,2021,,,0,43514,
Huntingdon,2022,,,,43514,
Huntingdon,2023,,,0,43514,
Huntingdon,2024,,,0,43514,
Indiana,2019,,,,83094,
Indiana,2020,,,,83094,
Indiana,2021,,,,83094,
Indiana,2022,,,0,83094,
Indiana,2023,,,0,83094,
Indiana,2024,,,0,83094,
Jefferson,2019,,,0,43612,
Jefferson,2020,,,,43612,
Jefferson,2021,,,0,43612,
Jefferson,2022,,,0,43612,
Jefferson,2023,,,,43612,
Jefferson,2024,11,10,,43612,25.2
Juniata,2019,,,0,23243,
Juniata,2020,,,0,23243,
Juniata,2021,,,0,23243,
Juniata,2022,,,0,23243,
Juniata,2023,10,,,23243,43.0
Juniata,2024,,,0,23243,
Lackawanna,2019,19,17,,216123,8.8
Lackawanna,2020,23,18,,216123,10.6
Lackawanna,2021,21,17,,216123,9.7
Lackawanna,2022,16,13,,216123,7.4
Lackawanna,2023,19,16,,216123,8.8
Lackawanna,2024,30,25,,216123,13.9
Lancaster,2019,39,34,,558589,7.0
Lancaster,2020,45,37,,558589,8.1
Lancaster,2021,46,36,,558589,8.2
Lancaster,2022,38,29,,558589,6.8
Lancaster,2023,48,37,10,558589,8.6
Lancaster,2024,43,34,,558589,7.7
Lawrence,2019,23,18,,84472,27.2
Lawrence,2020,10,,,84472,11.8
Lawrence,2021,14,,,84472,16.6
Lawrence,2022,10,,,84472,11.8
Lawrence,2023,20,14,,84472,23.7
Lawrence,2024,16,10,,84472,18.9
Lebanon,2019,13,12,,144252,9.0
Lebanon,2020,18,14,,144252,12.5
Lebanon,2021,16,10,,144252,11.1
Lebanon,2022,23,17,,144252,15.9
Lebanon,2023,15,,,144252,10.4
Lebanon,2024,22,19,,144252,15.3
Lehigh,2019,30,23,,377754,7.9
Lehigh,2020,33,24,,377754,8.7
Lehigh,2021,41,23,17,377754,10.9
Lehigh,2022,29,14,15,377754,7.7
Lehigh,2023,38,24,14,377754,10.1
Lehigh,2024,39,30,,377754,10.3
Luzerne,2019,46,39,,327388,14.1
Luzerne,2020,39,31,,327388,11.9
Luzerne,2021,38,27,,327388,11.6
Luzerne,2022,45,35,10,327388,13.7
Luzerne,2023,47,36,11,327388,14.4
Luzerne,2024,33,27,,327388,10.1
Lycoming,2019,10,,,112724,8.9
Lycoming,2020,11,,,112724,9.8
Lycoming,2021,,,,112724,
Lycoming,2022,22,16,,112724,19.5
Lycoming,2023,16,13,,112724,14.2
Lycoming,2024,18,13,,112724,16.0
McKean,2019,0,0,0,39519,0.0
McKean,2020,,,0,39519,
McKean,2021,,,0,39519,
McKean,2022,11,10,,39519,27.8
McKean,2023,,,0,39519,
McKean,2024,,,0,39519,
Mercer,2019,16,15,,108503,14.7
Mercer,2020,20,16,,108503,18.4
Mercer,2021,11,10,,108503,10.1
Mercer,2022,,,,108503,
Mercer,2023,20,14,,108503,18.4
Mercer,2024,19,14,,108503,17.5
Mifflin,2019,,,0,45922,
Mifflin,2020,,,,45922,
Mifflin,2021,,,,45922,
Mifflin,2022,,,,45922,
Mifflin,2023,,,0,45922,
Mifflin,2024,,,,45922,
Monroe,2019,18,12,,166053,10.8
Monroe,2020,19,12,,166053,11.4
Monroe,2021,25,15,,166053,15.1
Monroe,2022,24,22,,166053,14.5
Monroe,2023,30,23,,166053,18.1
Monroe,2024,20,17,,166053,12.0
Montgomery,2019,54,44,,868742,6.2
Montgomery,2020,66,49,14,868742,7.6
Montgomery,2021,53,33,19,868742,6.1
Montgomery,2022,65,43,22,868742,7.5
Montgomery,2023,67,50,17,868742,7.7
Montgomery,2024,79,61,16,868742,9.1
Montour,2019,,,0,17860,
Montour,2020,,,0,17860,
Montour,2021,,,0,17860,
Montour,2022,,,0,17860,
Montour,2023,0,0,0,17860,0.0
Montour,2024,,,0,17860,
Northampton,2019,15,13,,319091,4.7
Northampton,2020,16,13,,319091,5.0
Northampton,2021,19,10,,319091,6.0
Northampton,2022,35,32,,319091,11.0
Northampton,2023,22,19,,319091,6.9
Northampton,2024,30,28,,319091,9.4
Northumberland,2019,,,,90120,
Northumberland,2020,,,,90120,
Northumberland,2021,10,,,90120,11.1
Northumberland,2022,10,,,90120,11.1
Northumberland,2023,,,,90120,
Northumberland,2024,16,12,,90120,17.8
Perry,2019,,,0,46083,
Perry,2020,,,0,46083,
Perry,2021,10,10,0,46083,21.7
Perry,2022,,,0,46083,
Perry,2023,,,0,46083,
Perry,2024,,,0,46083,
Philadelphia,2019,367,63,302,1550542,23.7
Philadelphia,2020,538,75,453,1550542,34.7
Philadelphia,2021,574,74,491,1550542,37.0
Philadelphia,2022,562,92,458,1550542,36.2
Philadelphia,2023,450,79,361,1550542,29.0
Philadelphia,2024,305,78,220,1550542,19.7
Pike,2019,,,,61247,
Pike,2020,,,,61247,
Pike,2021,,,0,61247,
Pike,2022,11,10,0,61247,18.0
Pike,2023,,,,61247,
Pike,2024,,,0,61247,
Potter,2019,,,0,15999,
Potter,2020,,,0,15999,
Potter,2021,,,,15999,
Potter,2022,,,0,15999,
Potter,2023,,,0,15999,
Potter,2024,0,0,0,15999,0.0
Schuylkill,2019,25,24,,143786,17.4
Schuylkill,2020,11,10,,143786,7.7
Schuylkill,2021,21,19,,143786,14.6
Schuylkill,2022,26,21,,143786,18.1
Schuylkill,2023,30,24,,143786,20.9
Schuylkill,2024,17,17,0,143786,11.8
Snyder,2019,,,0,39717,
Snyder,2020,,,0,39717,
Snyder,2021,,,,39717,
Snyder,2022,,,,39717,
Snyder,2023,,,0,39717,
Snyder,2024,0,0,0,39717,0.0
Somerset,2019,,,0,72197,
Somerset,2020,10,,,72197,13.9
Somerset,2021,,,0,72197,
Somerset,2022,,,0,72197,
Somerset,2023,10,,,72197,13.9
Somerset,2024,13,11,,72197,18.0
Sullivan,2019,,,0,5834,
Sullivan,2020,,,0,5834,
Sullivan,2021,,,0,5834,
Sullivan,2022,,,0,5834,
Sullivan,2023,0,0,0,5834,0.0
Sullivan,2024,,,0,5834,
Susquehanna,2019,,,0,38109,
Susquehanna,2020,,,,38109,
Susquehanna,2021,,,0,38109,
Susquehanna,2022,,,0,38109,
Susquehanna,2023,,,0,38109,
Susquehanna,2024,,,0,38109,
Tioga,2019,,,,40840,
Tioga,2020,,,,40840,
Tioga,2021,,,0,40840,
Tioga,2022,,,,40840,
Tioga,2023,,,,40840,
Tioga,2024,,,0,40840,
Union,2019,,,0,42042,
Union,2020,,,,42042,
Union,2021,,,0,42042,
Union,2022,,,0,42042,
Union,2023,,,0,42042,
Union,2024,,,0,42042,
Venango,2019,,,0,49431,
Venango,2020,10,10,0,49431,20.2
Venango,2021,,,0,49431,
Venango,2022,11,,0,49431,22.3
Venango,2023,,,,49431,
Venango,2024,,,0,49431,
Warren,2019,,,,37572,
Warren,2020,,,0,37572,
Warren,2021,10,,,37572,26.6
Warren,2022,,,,37572,
Warren,2023,10,,,37572,26.6
Warren,2024,10,,,37572,26.6
Washington,2019,25,22,,210232,11.9
Washington,2020,22,21,,210232,10.5
Washington,2021,39,28,11,210232,18.6
Washington,2022,32,27,,210232,15.2
Washington,2023,21,21,0,210232,10.0
Washington,2024,22,20,,210232,10.5
Wayne,2019,11,11,0,51262,21.5
Wayne,2020,10,10,0,51262,19.5
Wayne,2021,13,13,0,51262,25.4
Wayne,2022,,,0,51262,
Wayne,2023,,,0,51262,
Wayne,2024,,,0,51262,
Westmoreland,2019,39,33,,351163,11.1
Westmoreland,2020,40,32,,351163,11.4
Westmoreland,2021,45,39,,351163,12.8
Westmoreland,2022,56,49,,351163,15.9
Westmoreland,2023,52,43,,351163,14.8
Westmoreland,2024,39,35,,351163,11.1
Wyoming,2019,,,0,25902,
Wyoming,2020,,,0,25902,
Wyoming,2021,,,0,25902,
Wyoming,2022,,,0,25902,
Wyoming,2023,,,0,25902,
Wyoming,2024,,,0,25902,
York,2019,59,38,19,464640,12.7
York,2020,54,37,16,464640,11.6
York,2021,65,43,21,464640,14.0
York,2022,63,41,21,464640,13.6
York,2023,56,40,16,464640,12.1
York,2024,64,54,,464640,13.8
