county,infant_mortality_per_1000,low_birthweight_pct,teen_births_per_1000,child_mortality_per_100k,children_in_poverty_pct,uninsured_children_pct,median_household_income
Adams,4.1,7.2,11.1,41.7,10.0,5.7,76554.0
Allegheny,6.2,8.9,9.7,55.7,14.4,2.6,71973.0
Armstrong,5.8,7.4,15.6,55.5,16.3,4.1,57609.0
Beaver,6.4,7.4,14.2,49.9,13.7,3.0,67135.0
Bedford,6.4,6.1,17.1,51.7,14.9,5.9,55517.0
Berks,6.3,8.1,18.1,48.9,14.3,5.2,72157.0
Blair,6.0,6.6,17.8,40.5,17.3,5.2,57884.0
Bradford,,6.0,24.5,46.8,16.7,5.9,63529.0
Bucks,3.4,7.2,4.7,32.4,7.0,3.0,105202.0
Butler,4.2,6.5,6.9,33.9,8.4,3.0,81507.0
Cambria,5.9,9.0,16.5,45.2,21.6,3.5,54612.0
Cameron,,9.4,21.3,,22.5,5.2,50338.0
Carbon,,8.4,14.9,48.1,15.5,4.0,64766.0
Centre,4.6,5.5,2.3,28.5,9.9,5.8,67654.0
Chester,4.3,6.3,5.1,32.8,6.4,4.6,117326.0
Clarion,7.8,6.5,10.6,45.3,16.0,5.6,57844.0
Clearfield,8.1,8.8,18.3,79.2,16.3,4.8,59318.0
Clinton,,6.7,12.2,62.9,17.6,6.8,58892.0
Columbia,,7.9,7.7,32.7,14.4,4.0,59127.0
Crawford,8.8,7.9,18.3,73.7,18.6,5.9,54774.0
Cumberland,4.9,7.2,7.9,34.3,9.4,4.6,81295.0
Dauphin,7.3,9.4,20.6,61.2,15.7,4.3,67813.0
Delaware,6.5,8.7,9.7,51.0,12.8,2.9,83856.0
Elk,,7.3,13.0,50.9,14.3,4.2,57570.0
Erie,7.3,9.2,18.0,50.8,19.6,4.1,56489.0
Fayette,7.4,9.5,25.4,66.7,23.1,4.3,51494.0
Forest,,9.9,,,28.6,0.9,43362.0
Franklin,5.6,7.4,17.3,54.2,11.8,8.2,73709.0
Fulton,,7.3,18.2,,17.2,5.1,64405.0
Greene,,9.5,16.3,75.4,17.5,4.7,63082.0
Huntingdon,9.1,6.7,15.7,56.7,15.8,4.8,58170.0
Indiana,4.5,7.4,8.7,37.7,17.8,5.7,53040.0
Jefferson,,8.6,16.8,51.5,18.9,6.6,54248.0
Juniata,,6.4,14.9,67.5,14.7,9.2,62661.0
Lackawanna,6.3,8.4,14.2,40.8,16.7,4.2,61168.0
Lancaster,5.4,6.4,11.2,49.1,11.9,11.3,82434.0
Lawrence,6.6,8.7,16.9,78.8,16.7,4.6,58730.0
Lebanon,4.7,8.2,17.7,41.4,14.1,6.5,69490.0
Lehigh,5.8,8.5,17.5,40.6,15.8,4.0,72590.0
Luzerne,6.2,8.2,19.5,55.1,21.4,4.6,59358.0
Lycoming,6.8,8.2,16.3,60.6,15.5,4.8,61729.0
McKean,,9.9,19.2,46.5,20.6,4.7,58112.0
Mercer,7.4,8.3,15.7,62.2,18.4,5.4,57702.0
Mifflin,10.2,6.9,17.5,71.3,20.6,7.1,57096.0
Monroe,6.0,9.3,8.1,40.2,16.1,4.4,79824.0
Montgomery,4.1,7.4,5.7,30.0,7.2,3.2,106743.0
Montour,,7.0,9.9,,13.3,4.6,76229.0
Northampton,4.1,8.1,9.2,28.8,14.3,4.0,75468.0
Northumberland,5.8,8.0,21.6,63.0,17.8,4.5,57822.0
Perry,5.9,7.1,19.4,63.1,13.1,8.5,67834.0
Philadelphia,7.6,11.0,23.0,73.7,28.3,4.1,56385.0
Pike,,8.1,7.8,38.1,13.0,4.7,81886.0
Potter,,6.6,23.5,,22.9,6.9,53935.0
Schuylkill,7.5,8.5,19.3,66.0,16.4,4.6,63680.0
Snyder,,5.6,10.0,34.7,14.0,8.1,62382.0
Somerset,4.8,7.3,15.1,55.4,18.6,6.3,50516.0
Sullivan,,6.0,23.5,,22.6,7.4,59957.0
Susquehanna,,6.6,17.4,58.4,19.1,6.7,63413.0
Tioga,,6.2,18.0,51.7,17.7,4.5,61190.0
Union,,5.3,7.5,34.8,11.5,7.4,65521.0
Venango,8.9,8.1,21.9,58.8,20.1,4.6,52449.0
Warren,,8.4,19.7,57.2,19.4,4.8,56707.0
Washington,5.2,7.4,10.0,40.0,13.2,3.5,70751.0
Wayne,,7.5,13.4,37.7,18.1,4.9,56973.0
Westmoreland,5.1,7.7,9.7,46.8,13.2,2.6,71152.0
Wyoming,,7.3,15.6,,17.4,4.2,67643.0
York,5.1,8.6,15.2,44.9,11.5,4.2,79938.0
