county,year,overdose_deaths,population,rate_per_100k
Adams,2019,8,106748,7.5
Adams,2020,18,106748,16.9
Adams,2021,17,106748,15.9
Adams,2022,6,106748,5.6
Adams,2023,7,106748,6.6
Adams,2024,,106748,
Allegheny,2019,570,1224825,46.5
Allegheny,2020,683,1224825,55.8
Allegheny,2021,717,1224825,58.5
Allegheny,2022,693,1224825,56.6
Allegheny,2023,670,1224825,54.7
Allegheny,2024,428,1224825,34.9
Armstrong,2019,20,64074,31.2
Armstrong,2020,27,64074,42.1
Armstrong,2021,34,64074,53.1
Armstrong,2022,16,64074,25.0
Armstrong,2023,19,64074,29.7
Armstrong,2024,12,64074,18.7
Beaver,2019,62,165631,37.4
Beaver,2020,65,165631,39.2
Beaver,2021,65,165631,39.2
Beaver,2022,68,165631,41.1
Beaver,2023,67,165631,40.5
Beaver,2024,58,165631,35.0
Bedford,2019,,47350,
Bedford,2020,13,47350,27.5
Bedford,2021,20,47350,42.2
Bedford,2022,12,47350,25.3
Bedford,2023,11,47350,23.2
Bedford,2024,8,47350,16.9
Berks,2019,117,432821,27.0
Berks,2020,128,432821,29.6
Berks,2021,132,432821,30.5
Berks,2022,136,432821,31.4
Berks,2023,114,432821,26.3
Berks,2024,92,432821,21.3
Blair,2019,29,120273,24.1
Blair,2020,52,120273,43.2
Blair,2021,48,120273,39.9
Blair,2022,68,120273,56.5
Blair,2023,54,120273,44.9
Blair,2024,43,120273,35.8
Bradford,2019,17,59695,28.5
Bradford,2020,12,59695,20.1
Bradford,2021,16,59695,26.8
Bradford,2022,8,59695,13.4
Bradford,2023,18,59695,30.2
Bradford,2024,10,59695,16.8
Bucks,2019,185,645984,28.6
Bucks,2020,210,645984,32.5
Bucks,2021,168,645984,26.0
Bucks,2022,171,645984,26.5
Bucks,2023,132,645984,20.4
Bucks,2024,113,645984,17.5
Butler,2019,60,198413,30.2
Butler,2020,72,198413,36.3
Butler,2021,66,198413,33.3
Butler,2022,66,198413,33.3
Butler,2023,43,198413,21.7
Butler,2024,46,198413,23.2
Cambria,2019,55,130668,42.1
Cambria,2020,68,130668,52.0
Cambria,2021,95,130668,72.7
Cambria,2022,91,130668,69.6
Cambria,2023,66,130668,50.5
Cambria,2024,25,130668,19.1
Cameron,2019,0,4380,0.0
Cameron,2020,0,4380,0.0
Cameron,2021,,4380,
Cameron,2022,0,4380,0.0
Cameron,2023,,4380,
Cameron,2024,0,4380,0.0
Carbon,2019,27,65458,41.2
Carbon,2020,29,65458,44.3
Carbon,2021,37,65458,56.5
Carbon,2022,35,65458,53.5
Carbon,2023,28,65458,42.8
Carbon,2024,17,65458,26.0
Centre,2019,8,157795,5.1
Centre,2020,14,157795,8.9
Centre,2021,12,157795,7.6
Centre,2022,14,157795,8.9
Centre,2023,7,157795,4.4
Centre,2024,9,157795,5.7
Chester,2019,108,549784,19.6
Chester,2020,112,549784,20.4
Chester,2021,106,549784,19.3
Chester,2022,95,549784,17.3
Chester,2023,79,549784,14.4
Chester,2024,66,549784,12.0
Clarion,2019,6,36970,16.2
Clarion,2020,,36970,
Clarion,2021,8,36970,21.6
Clarion,2022,8,36970,21.6
Clarion,2023,7,36970,18.9
Clarion,2024,7,36970,18.9
Clearfield,2019,9,77090,11.7
Clearfield,2020,21,77090,27.2
Clearfield,2021,29,77090,37.6
Clearfield,2022,17,77090,22.1
Clearfield,2023,26,77090,33.7
Clearfield,2024,16,77090,20.8
Clinton,2019,,37607,
Clinton,2020,8,37607,21.3
Clinton,2021,8,37607,21.3
Clinton,2022,,37607,
Clinton,2023,6,37607,16.0
Clinton,2024,,37607,
Columbia,2019,14,65439,21.4
Columbia,2020,15,65439,22.9
Columbia,2021,22,65439,33.6
Columbia,2022,17,65439,26.0
Columbia,2023,17,65439,26.0
Columbia,2024,,65439,
Crawford,2019,19,82001,23.2
Crawford,2020,24,82001,29.3
Crawford,2021,36,82001,43.9
Crawford,2022,13,82001,15.9
Crawford,2023,22,82001,26.8
Crawford,2024,19,82001,23.2
Cumberland,2019,41,270738,15.1
Cumberland,2020,68,270738,25.1
Cumberland,2021,53,270738,19.6
Cumberland,2022,35,270738,12.9
Cumberland,2023,37,270738,13.7
Cumberland,2024,26,270738,9.6
Dauphin,2019,101,289234,34.9
Dauphin,2020,111,289234,38.4
Dauphin,2021,105,289234,36.3
Dauphin,2022,109,289234,37.7
Dauphin,2023,116,289234,40.1
Dauphin,2024,56,289234,19.4
Delaware,2019,196,576720,34.0
Delaware,2020,205,576720,35.5
Delaware,2021,197,576720,34.2
Delaware,2022,155,576720,26.9
Delaware,2023,170,576720,29.5
Delaware,2024,115,576720,19.9
Elk,2019,6,30198,19.9
Elk,2020,6,30198,19.9
Elk,2021,13,30198,43.0
Elk,2022,9,30198,29.8
Elk,2023,14,30198,46.4
Elk,2024,,30198,
Erie,2019,69,267571,25.8
Erie,2020,81,267571,30.3
Erie,2021,93,267571,34.8
Erie,2022,108,267571,40.4
Erie,2023,116,267571,43.4
Erie,2024,66,267571,24.7
Fayette,2019,39,123915,31.5
Fayette,2020,65,123915,52.5
Fayette,2021,82,123915,66.2
Fayette,2022,71,123915,57.3
Fayette,2023,77,123915,62.1
Fayette,2024,38,123915,30.7
Forest,2019,,6449,
Forest,2020,,6449,
Forest,2021,,6449,
Forest,2022,0,6449,0.0
Forest,2023,0,6449,0.0
Forest,2024,0,6449,0.0
Franklin,2019,27,157854,17.1
Franklin,2020,30,157854,19.0
Franklin,2021,30,157854,19.0
Franklin,2022,33,157854,20.9
Franklin,2023,30,157854,19.0
Franklin,2024,17,157854,10.8
Fulton,2019,,14468,
Fulton,2020,,14468,
Fulton,2021,,14468,
Fulton,2022,6,14468,41.5
Fulton,2023,0,14468,0.0
Fulton,2024,,14468,
Greene,2019,12,34357,34.9
Greene,2020,12,34357,34.9
Greene,2021,14,34357,40.7
Greene,2022,15,34357,43.7
Greene,2023,11,34357,32.0
Greene,2024,10,34357,29.1
Huntingdon,2019,10,43514,23.0
Huntingdon,2020,8,43514,18.4
Huntingdon,2021,10,43514,23.0
Huntingdon,2022,10,43514,23.0
Huntingdon,2023,7,43514,16.1
Huntingdon,2024,,43514,
Indiana,2019,33,83094,39.7
Indiana,2020,32,83094,38.5
Indiana,2021,38,83094,45.7
Indiana,2022,40,83094,48.1
Indiana,2023,24,83094,28.9
Indiana,2024,16,83094,19.3
Jefferson,2019,10,43612,22.9
Jefferson,2020,9,43612,20.6
Jefferson,2021,10,43612,22.9
Jefferson,2022,13,43612,29.8
Jefferson,2023,8,43612,18.3
Jefferson,2024,10,43612,22.9
Juniata,2019,,23243,
Juniata,2020,,23243,
Juniata,2021,0,23243,0.0
Juniata,2022,,23243,
Juniata,2023,,23243,
Juniata,2024,0,23243,0.0
Lackawanna,2019,65,216123,30.1
Lackawanna,2020,92,216123,42.6
Lackawanna,2021,106,216123,49.0
Lackawanna,2022,91,216123,42.1
Lackawanna,2023,70,216123,32.4
Lackawanna,2024,53,216123,24.5
Lancaster,2019,103,558589,18.4
Lancaster,2020,144,558589,25.8
Lancaster,2021,131,558589,23.5
Lancaster,2022,106,558589,19.0
Lancaster,2023,84,558589,15.0
Lancaster,2024,51,558589,9.1
Lawrence,2019,30,84472,35.5
Lawrence,2020,38,84472,45.0
Lawrence,2021,54,84472,63.9
Lawrence,2022,83,84472,98.3
Lawrence,2023,61,84472,72.2
Lawrence,2024,32,84472,37.9
Lebanon,2019,23,144252,15.9
Lebanon,2020,36,144252,25.0
Lebanon,2021,31,144252,21.5
Lebanon,2022,28,144252,19.4
Lebanon,2023,31,144252,21.5
Lebanon,2024,17,144252,11.8
Lehigh,2019,146,377754,38.6
Lehigh,2020,140,377754,37.1
Lehigh,2021,184,377754,48.7
Lehigh,2022,163,377754,43.1
Lehigh,2023,146,377754,38.6
Lehigh,2024,111,377754,29.4
Luzerne,2019,134,327388,40.9
Luzerne,2020,169,327388,51.6
Luzerne,2021,195,327388,59.6
Luzerne,2022,168,327388,51.3
Luzerne,2023,140,327388,42.8
Luzerne,2024,88,327388,26.9
Lycoming,2019,33,112724,29.3
Lycoming,2020,39,112724,34.6
Lycoming,2021,23,112724,20.4
Lycoming,2022,19,112724,16.9
Lycoming,2023,24,112724,21.3
Lycoming,2024,9,112724,8.0
McKean,2019,,39519,
McKean,2020,6,39519,15.2
McKean,2021,12,39519,30.4
McKean,2022,11,39519,27.8
McKean,2023,,39519,
McKean,2024,11,39519,27.8
Mercer,2019,40,108503,36.9
Mercer,2020,44,108503,40.6
Mercer,2021,64,108503,59.0
Mercer,2022,52,108503,47.9
Mercer,2023,39,108503,35.9
Mercer,2024,28,108503,25.8
Mifflin,2019,6,45922,13.1
Mifflin,2020,,45922,
Mifflin,2021,13,45922,28.3
Mifflin,2022,18,45922,39.2
Mifflin,2023,9,45922,19.6
Mifflin,2024,6,45922,13.1
Monroe,2019,59,166053,35.5
Monroe,2020,83,166053,50.0
Monroe,2021,67,166053,40.3
Monroe,2022,59,166053,35.5
Monroe,2023,56,166053,33.7
Monroe,2024,38,166053,22.9
Montgomery,2019,207,868742,23.8
Montgomery,2020,220,868742,25.3
Montgomery,2021,188,868742,21.6
Montgomery,2022,174,868742,20.0
Montgomery,2023,178,868742,20.5
Montgomery,2024,125,868742,14.4
Montour,2019,21,17860,117.6
Montour,2020,15,17860,84.0
Montour,2021,20,17860,112.0
Montour,2022,12,17860,67.2
Montour,2023,20,17860,112.0
Montour,2024,6,17860,33.6
Northampton,2019,59,319091,18.5
Northampton,2020,82,319091,25.7
Northampton,2021,77,319091,24.1
Northampton,2022,68,319091,21.3
Northampton,2023,61,319091,19.1
Northampton,2024,41,319091,12.8
Northumberland,2019,37,90120,41.1
Northumberland,2020,29,90120,32.2
Northumberland,2021,29,90120,32.2
Northumberland,2022,28,90120,31.1
Northumberland,2023,26,90120,28.9
Northumberland,2024,18,90120,20.0
Perry,2019,8,46083,17.4
Perry,2020,14,46083,30.4
Perry,2021,15,46083,32.5
Perry,2022,11,46083,23.9
Perry,2023,,46083,
Perry,2024,,46083,
Philadelphia,2019,1154,1550542,74.4
Philadelphia,2020,1217,1550542,78.5
Philadelphia,2021,1278,1550542,82.4
Philadelphia,2022,1417,1550542,91.4
Philadelphia,2023,1315,1550542,84.8
Philadelphia,2024,1058,1550542,68.2
Pike,2019,14,61247,22.9
Pike,2020,15,61247,24.5
Pike,2021,17,61247,27.8
Pike,2022,16,61247,26.1
Pike,2023,14,61247,22.9
Pike,2024,,61247,
Potter,2019,,15999,
Potter,2020,,15999,
Potter,2021,,15999,
Potter,2022,,15999,
Potter,2023,,15999,
Potter,2024,,15999,
Schuylkill,2019,60,143786,41.7
Schuylkill,2020,67,143786,46.6
Schuylkill,2021,57,143786,39.6
Schuylkill,2022,62,143786,43.1
Schuylkill,2023,60,143786,41.7
Schuylkill,2024,29,143786,20.2
Snyder,2019,,39717,
Snyder,2020,,39717,
Snyder,2021,,39717,
Snyder,2022,,39717,
Snyder,2023,6,39717,15.1
Snyder,2024,0,39717,0.0
Somerset,2019,12,72197,16.6
Somerset,2020,22,72197,30.5
Somerset,2021,23,72197,31.9
Somerset,2022,32,72197,44.3
Somerset,2023,18,72197,24.9
Somerset,2024,15,72197,20.8
Sullivan,2019,,5834,
Sullivan,2020,0,5834,0.0
Sullivan,2021,,5834,
Sullivan,2022,,5834,
Sullivan,2023,0,5834,0.0
Sullivan,2024,,5834,
Susquehanna,2019,,38109,
Susquehanna,2020,6,38109,15.7
Susquehanna,2021,10,38109,26.2
Susquehanna,2022,10,38109,26.2
Susquehanna,2023,14,38109,36.7
Susquehanna,2024,6,38109,15.7
Tioga,2019,7,40840,17.1
Tioga,2020,8,40840,19.6
Tioga,2021,19,40840,46.5
Tioga,2022,7,40840,17.1
Tioga,2023,6,40840,14.7
Tioga,2024,,40840,
Union,2019,,42042,
Union,2020,6,42042,14.3
Union,2021,6,42042,14.3
Union,2022,,42042,
Union,2023,,42042,
Union,2024,,42042,
Venango,2019,9,49431,18.2
Venango,2020,14,49431,28.3
Venango,2021,14,49431,28.3
Venango,2022,19,49431,38.4
Venango,2023,18,49431,36.4
Venango,2024,8,49431,16.2
Warren,2019,,37572,
Warren,2020,6,37572,16.0
Warren,2021,,37572,
Warren,2022,,37572,
Warren,2023,10,37572,26.6
Warren,2024,,37572,
Washington,2019,77,210232,36.6
Washington,2020,100,210232,47.6
Washington,2021,100,210232,47.6
Washington,2022,86,210232,40.9
Washington,2023,51,210232,24.3
Washington,2024,53,210232,25.2
Wayne,2019,19,51262,37.1
Wayne,2020,15,51262,29.3
