county,fips,asthma_prev_pct,asthma_prev_adj_pct,smoking_prev_pct,obesity_prev_pct
Adams,42001,10.3,10.6,15.7,36.5
Allegheny,42003,10.5,10.6,14.7,31.7
Armstrong,42005,10.9,11.2,19.6,37.9
Beaver,42007,10.6,10.7,15.5,37.4
Bedford,42009,10.6,10.8,18.2,34.9
Berks,42011,10.4,10.4,14.8,34.8
Blair,42013,11.2,11.3,19.2,36.0
Bradford,42015,10.7,10.9,16.1,34.7
Bucks,42017,10.2,10.2,15.5,30.4
Butler,42019,10.0,10.1,12.2,32.3
Cambria,42021,10.7,11.0,18.1,36.6
Cameron,42023,11.0,11.2,20.8,37.9
Carbon,42025,10.5,10.6,17.6,34.7
Centre,42027,10.3,10.4,15.1,31.5
Chester,42029,9.7,9.7,10.6,29.6
Clarion,42031,11.0,11.0,18.0,34.5
Clearfield,42033,10.9,10.9,20.0,37.2
Clinton,42035,11.2,11.2,18.4,33.7
Columbia,42037,11.1,11.0,16.4,36.0
Crawford,42039,11.0,11.2,19.5,37.4
Cumberland,42041,10.3,10.4,14.1,32.8
Dauphin,42043,11.0,11.1,17.1,34.1
Delaware,42045,10.3,10.4,12.5,30.9
Elk,42047,10.6,10.7,17.9,38.3
Erie,42049,10.7,10.7,17.8,36.5
Fayette,42051,11.3,11.5,20.7,34.7
Forest,42053,10.1,10.0,21.8,39.7
Franklin,42055,10.4,10.6,18.5,38.9
Fulton,42057,10.4,10.7,17.2,35.6
Greene,42059,10.9,10.9,18.7,35.6
Huntingdon,42061,10.4,10.5,18.8,35.0
Indiana,42063,11.1,11.2,15.4,37.7
Jefferson,42065,11.0,11.2,20.2,35.7
Juniata,42067,10.8,10.9,18.8,36.0
Lackawanna,42069,10.4,10.5,16.5,32.8
Lancaster,42071,10.6,10.8,15.2,35.1
Lawrence,42073,10.7,10.9,17.7,35.5
Lebanon,42075,10.4,10.6,15.2,36.8
Lehigh,42077,10.6,10.6,16.0,34.0
Luzerne,42079,11.1,11.2,17.5,38.2
Lycoming,42081,10.4,10.5,16.5,35.5
McKean,42083,10.7,10.8,16.0,35.9
Mercer,42085,11.2,11.4,16.8,34.8
Mifflin,42087,11.2,11.4,20.8,38.3
Monroe,42089,10.6,10.6,15.8,37.5
Montgomery,42091,9.9,9.8,12.5,31.5
Montour,42093,10.7,10.9,16.8,35.3
Northampton,42095,10.2,10.2,14.6,33.0
Northumberland,42097,10.7,10.8,19.2,37.9
Perry,42099,10.6,10.8,17.8,35.1
Philadelphia,42101,11.6,11.6,18.4,34.2
Pike,42103,10.1,10.3,14.6,34.0
Potter,42105,10.5,10.9,18.2,38.1
Schuylkill,42107,10.9,11.0,19.9,39.0
Snyder,42109,10.4,10.6,15.3,35.5
Somerset,42111,10.4,10.7,18.6,36.5
Sullivan,42113,11.3,11.7,21.1,36.8
Susquehanna,42115,10.0,10.4,14.3,32.9
Tioga,42117,11.1,11.2,18.6,38.5
Union,42119,10.6,10.7,17.5,33.7
Venango,42121,10.8,10.9,18.1,35.8
Warren,42123,10.7,11.0,18.5,34.5
Washington,42125,11.1,11.3,16.6,38.0
Wayne,42127,10.7,10.8,18.9,35.2
Westmoreland,42129,10.2,10.4,13.4,31.2
Wyoming,42131,11.0,11.1,19.2,35.7
York,42133,10.4,10.7,15.7,34.8
