county,month,covid_deaths,population,rate_per_100k
Adams,2020-03-01,0,106748,0.0
Adams,2020-04-01,0,106748,0.0
Adams,2020-05-01,0,106748,0.0
Adams,2020-06-01,0,106748,0.0
Adams,2020-07-01,0,106748,0.0
Adams,2020-08-01,0,106748,0.0
Adams,2020-09-01,0,106748,0.0
Adams,2020-10-01,0,106748,0.0
Adams,2020-11-01,0,106748,0.0
Adams,2020-12-01,0,106748,0.0
Adams,2021-01-01,0,106748,0.0
Adams,2021-02-01,0,106748,0.0
Adams,2021-03-01,0,106748,0.0
Adams,2021-04-01,0,106748,0.0
Adams,2021-05-01,0,106748,0.0
Adams,2021-06-01,3,106748,2.81
Adams,2021-07-01,1,106748,0.94
Adams,2021-08-01,2,106748,1.87
Adams,2021-09-01,14,106748,13.11
Adams,2021-10-01,28,106748,26.23
Adams,2021-11-01,17,106748,15.93
Adams,2021-12-01,44,106748,41.22
Adams,2022-01-01,45,106748,42.16
Adams,2022-02-01,19,106748,17.8
Adams,2022-03-01,3,106748,2.81
Adams,2022-04-01,2,106748,1.87
Adams,2022-05-01,7,106748,6.56
Adams,2022-06-01,9,106748,8.43
Adams,2022-07-01,5,106748,4.68
Adams,2022-08-01,6,106748,5.62
Adams,2022-09-01,5,106748,4.68
Adams,2022-10-01,4,106748,3.75
Adams,2022-11-01,3,106748,2.81
Adams,2022-12-01,7,106748,6.56
Adams,2023-01-01,8,106748,7.49
Adams,2023-02-01,6,106748,5.62
Adams,2023-03-01,5,106748,4.68
Adams,2023-04-01,5,106748,4.68
Adams,2023-05-01,1,106748,0.94
Adams,2023-06-01,0,106748,0.0
Adams,2023-07-01,1,106748,0.94
Adams,2023-08-01,0,106748,0.0
Adams,2023-09-01,2,106748,1.87
Adams,2023-10-01,2,106748,1.87
Adams,2023-11-01,5,106748,4.68
Adams,2023-12-01,4,106748,3.75
Adams,2024-01-01,2,106748,1.87
Adams,2024-02-01,4,106748,3.75
Adams,2024-03-01,3,106748,2.81
Allegheny,2020-03-01,0,1224825,0.0
Allegheny,2020-04-01,0,1224825,0.0
Allegheny,2020-05-01,0,1224825,0.0
Allegheny,2020-06-01,0,1224825,0.0
Allegheny,2020-07-01,0,1224825,0.0
Allegheny,2020-08-01,0,1224825,0.0
Allegheny,2020-09-01,0,1224825,0.0
Allegheny,2020-10-01,0,1224825,0.0
Allegheny,2020-11-01,0,1224825,0.0
Allegheny,2020-12-01,0,1224825,0.0
Allegheny,2021-01-01,0,1224825,0.0
Allegheny,2021-02-01,0,1224825,0.0
Allegheny,2021-03-01,0,1224825,0.0
Allegheny,2021-04-01,0,1224825,0.0
Allegheny,2021-05-01,0,1224825,0.0
Allegheny,2021-06-01,21,1224825,1.71
Allegheny,2021-07-01,10,1224825,0.82
Allegheny,2021-08-01,60,1224825,4.9
Allegheny,2021-09-01,109,1224825,8.9
Allegheny,2021-10-01,197,1224825,16.08
Allegheny,2021-11-01,158,1224825,12.9
Allegheny,2021-12-01,242,1224825,19.76
Allegheny,2022-01-01,322,1224825,26.29
Allegheny,2022-02-01,147,1224825,12.0
Allegheny,2022-03-01,48,1224825,3.92
Allegheny,2022-04-01,18,1224825,1.47
Allegheny,2022-05-01,34,1224825,2.78
Allegheny,2022-06-01,54,1224825,4.41
Allegheny,2022-07-01,29,1224825,2.37
Allegheny,2022-08-01,61,1224825,4.98
Allegheny,2022-09-01,47,1224825,3.84
Allegheny,2022-10-01,64,1224825,5.23
Allegheny,2022-11-01,45,1224825,3.67
Allegheny,2022-12-01,61,1224825,4.98
Allegheny,2023-01-01,58,1224825,4.74
Allegheny,2023-02-01,53,1224825,4.33
Allegheny,2023-03-01,29,1224825,2.37
Allegheny,2023-04-01,29,1224825,2.37
Allegheny,2023-05-01,18,1224825,1.47
Allegheny,2023-06-01,7,1224825,0.57
Allegheny,2023-07-01,9,1224825,0.73
Allegheny,2023-08-01,18,1224825,1.47
Allegheny,2023-09-01,26,1224825,2.12
Allegheny,2023-10-01,32,1224825,2.61
Allegheny,2023-11-01,39,1224825,3.18
Allegheny,2023-12-01,41,1224825,3.35
Allegheny,2024-01-01,46,1224825,3.76
Allegheny,2024-02-01,29,1224825,2.37
Allegheny,2024-03-01,18,1224825,1.47
Armstrong,2020-03-01,0,64074,0.0
Armstrong,2020-04-01,0,64074,0.0
Armstrong,2020-05-01,0,64074,0.0
Armstrong,2020-06-01,0,64074,0.0
Armstrong,2020-07-01,0,64074,0.0
Armstrong,2020-08-01,0,64074,0.0
Armstrong,2020-09-01,0,64074,0.0
Armstrong,2020-10-01,0,64074,0.0
Armstrong,2020-11-01,0,64074,0.0
Armstrong,2020-12-01,0,64074,0.0
Armstrong,2021-01-01,0,64074,0.0
Armstrong,2021-02-01,0,64074,0.0
Armstrong,2021-03-01,0,64074,0.0
Armstrong,2021-04-01,0,64074,0.0
Armstrong,2021-05-01,0,64074,0.0
Armstrong,2021-06-01,0,64074,0.0
Armstrong,2021-07-01,0,64074,0.0
Armstrong,2021-08-01,4,64074,6.24
Armstrong,2021-09-01,25,64074,39.02
Armstrong,2021-10-01,27,64074,42.14
Armstrong,2021-11-01,37,64074,57.75
Armstrong,2021-12-01,41,64074,63.99
Armstrong,2022-01-01,31,64074,48.38
Armstrong,2022-02-01,21,64074,32.77
Armstrong,2022-03-01,6,64074,9.36
Armstrong,2022-04-01,3,64074,4.68
Armstrong,2022-05-01,5,64074,7.8
Armstrong,2022-06-01,3,64074,4.68
Armstrong,2022-07-01,6,64074,9.36
Armstrong,2022-08-01,6,64074,9.36
Armstrong,2022-09-01,9,64074,14.05
Armstrong,2022-10-01,3,64074,4.68
Armstrong,2022-11-01,2,64074,3.12
Armstrong,2022-12-01,3,64074,4.68
Armstrong,2023-01-01,4,64074,6.24
Armstrong,2023-02-01,2,64074,3.12
Armstrong,2023-03-01,3,64074,4.68
Armstrong,2023-04-01,2,64074,3.12
Armstrong,2023-05-01,3,64074,4.68
Armstrong,2023-06-01,0,64074,0.0
Armstrong,2023-07-01,2,64074,3.12
Armstrong,2023-08-01,0,64074,0.0
Armstrong,2023-09-01,2,64074,3.12
Armstrong,2023-10-01,3,64074,4.68
Armstrong,2023-11-01,2,64074,3.12
Armstrong,2023-12-01,11,64074,17.17
Armstrong,2024-01-01,5,64074,7.8
Armstrong,2024-02-01,0,64074,0.0
Armstrong,2024-03-01,0,64074,0.0
Beaver,2020-03-01,0,165631,0.0
Beaver,2020-04-01,0,165631,0.0
Beaver,2020-05-01,0,165631,0.0
Beaver,2020-06-01,0,165631,0.0
Beaver,2020-07-01,0,165631,0.0
Beaver,2020-08-01,0,165631,0.0
Beaver,2020-09-01,0,165631,0.0
Beaver,2020-10-01,0,165631,0.0
Beaver,2020-11-01,0,165631,0.0
Beaver,2020-12-01,0,165631,0.0
Beaver,2021-01-01,0,165631,0.0
Beaver,2021-02-01,0,165631,0.0
Beaver,2021-03-01,0,165631,0.0
Beaver,2021-04-01,0,165631,0.0
Beaver,2021-05-01,0,165631,0.0
Beaver,2021-06-01,4,165631,2.42
Beaver,2021-07-01,4,165631,2.42
Beaver,2021-08-01,17,165631,10.26
Beaver,2021-09-01,29,165631,17.51
Beaver,2021-10-01,46,165631,27.77
Beaver,2021-11-01,60,165631,36.23
Beaver,2021-12-01,76,165631,45.89
Beaver,2022-01-01,67,165631,40.45
Beaver,2022-02-01,29,165631,17.51
Beaver,2022-03-01,18,165631,10.87
Beaver,2022-04-01,10,165631,6.04
Beaver,2022-05-01,8,165631,4.83
Beaver,2022-06-01,8,165631,4.83
Beaver,2022-07-01,1,165631,0.6
Beaver,2022-08-01,14,165631,8.45
Beaver,2022-09-01,3,165631,1.81
Beaver,2022-10-01,6,165631,3.62
Beaver,2022-11-01,17,165631,10.26
Beaver,2022-12-01,17,165631,10.26
Beaver,2023-01-01,16,165631,9.66
Beaver,2023-02-01,9,165631,5.43
Beaver,2023-03-01,12,165631,7.25
Beaver,2023-04-01,4,165631,2.42
Beaver,2023-05-01,4,165631,2.42
Beaver,2023-06-01,1,165631,0.6
Beaver,2023-07-01,1,165631,0.6
Beaver,2023-08-01,6,165631,3.62
Beaver,2023-09-01,3,165631,1.81
Beaver,2023-10-01,7,165631,4.23
Beaver,2023-11-01,4,165631,2.42
Beaver,2023-12-01,7,165631,4.23
Beaver,2024-01-01,4,165631,2.42
Beaver,2024-02-01,5,165631,3.02
Beaver,2024-03-01,0,165631,0.0
Bedford,2020-03-01,0,47350,0.0
Bedford,2020-04-01,0,47350,0.0
Bedford,2020-05-01,0,47350,0.0
Bedford,2020-06-01,0,47350,0.0
Bedford,2020-07-01,0,47350,0.0
Bedford,2020-08-01,0,47350,0.0
Bedford,2020-09-01,0,47350,0.0
Bedford,2020-10-01,0,47350,0.0
Bedford,2020-11-01,0,47350,0.0
Bedford,2020-12-01,0,47350,0.0
Bedford,2021-01-01,0,47350,0.0
Bedford,2021-02-01,0,47350,0.0
Bedford,2021-03-01,0,47350,0.0
Bedford,2021-04-01,0,47350,0.0
Bedford,2021-05-01,0,47350,0.0
Bedford,2021-06-01,3,47350,6.34
Bedford,2021-07-01,0,47350,0.0
Bedford,2021-08-01,3,47350,6.34
Bedford,2021-09-01,11,47350,23.23
Bedford,2021-10-01,26,47350,54.91
Bedford,2021-11-01,24,47350,50.69
Bedford,2021-12-01,31,47350,65.47
Bedford,2022-01-01,20,47350,42.24
Bedford,2022-02-01,16,47350,33.79
Bedford,2022-03-01,4,47350,8.45
Bedford,2022-04-01,0,47350,0.0
Bedford,2022-05-01,1,47350,2.11
Bedford,2022-06-01,3,47350,6.34
Bedford,2022-07-01,0,47350,0.0
Bedford,2022-08-01,1,47350,2.11
Bedford,2022-09-01,1,47350,2.11
Bedford,2022-10-01,0,47350,0.0
Bedford,2022-11-01,1,47350,2.11
Bedford,2022-12-01,1,47350,2.11
Bedford,2023-01-01,3,47350,6.34
Bedford,2023-02-01,1,47350,2.11
Bedford,2023-03-01,2,47350,4.22
Bedford,2023-04-01,1,47350,2.11
